Date,Open,High,Low,Close,Adj_Close,Volume
01-10-2008,5.0581,6.8271,5.0455,5.8059,5.8059,0
01-11-2008,5.8059,7.4766,5.5812,7.466,7.466,0
01-12-2008,7.2692,9.8093,7.2468,7.5781,7.5781,0
01-01-2009,7.5811,8.7252,7.5811,7.7168,7.7168,0
01-02-2009,7.7168,9.1074,7.7168,8.4771,8.4771,0
01-03-2009,8.4599,8.4672,7.6431,7.9458,7.9458,0
01-04-2009,8.012,8.0583,7.7909,7.8216,7.8216,0
01-05-2009,7.829,7.9072,7.4546,7.4981,7.4981,0
01-06-2009,7.655,7.66,7.4548,7.6185,7.6185,0
01-07-2009,7.5746,7.917,7.5278,7.779,7.779,0
01-08-2009,7.7793,8.4475,7.7725,8.3389,8.3389,0
01-09-2009,8.3054,8.7183,8.1468,8.1468,8.1468,0
01-10-2009,8.2681,8.3685,7.9899,8.0914,8.0914,0
01-11-2009,8.0822,8.1455,7.8719,7.905,7.905,0
01-12-2009,7.9188,8.0113,7.8643,7.9497,7.9497,0
01-01-2010,8.0141,8.0444,7.8914,7.9645,7.9645,0
01-02-2010,7.9367,7.9839,7.83,7.83,7.83,0
01-03-2010,7.8722,7.9547,7.8037,7.8183,7.8183,0
01-04-2010,7.8214,7.8942,7.7703,7.8171,7.8171,0
01-05-2010,7.8258,7.8997,7.655,7.8087,7.8087,0
01-06-2010,7.8162,7.9437,7.7408,7.7934,7.7934,0
01-07-2010,7.8068,7.8337,7.6906,7.7865,7.7865,0
01-08-2010,7.7639,7.8256,7.7639,7.7728,7.7728,0
01-09-2010,7.7869,7.8409,7.7532,7.835,7.835,0
01-10-2010,7.8309,7.8547,7.5243,7.8519,7.8519,0
01-11-2010,7.8595,7.9152,7.7967,7.8609,7.8609,0
01-12-2010,7.8687,7.8865,7.8355,7.8574,7.8574,0
01-01-2011,7.8619,7.8804,7.794,7.9035,7.9035,0
01-02-2011,7.8469,7.8612,7.8164,7.8274,7.8274,0
01-03-2011,7.8475,7.9265,7.8158,7.8748,7.8748,0
01-04-2011,7.8848,7.9117,7.7848,7.8722,7.8722,0
01-05-2011,7.8752,8.0167,7.8529,7.8831,7.8831,0
01-06-2011,7.8887,7.9571,7.8106,7.8867,7.8867,0
01-07-2011,7.8581,7.9892,7.8241,7.9056,7.9056,0
01-08-2011,7.9018,7.9559,7.7945,7.8973,7.8973,0
01-09-2011,7.8989,8.04,7.8839,7.8949,7.8949,0
01-10-2011,7.896,7.9462,7.8503,7.9081,7.9081,0
01-11-2011,8.048,8.048,7.837,7.9255,7.9255,0
01-12-2011,7.8273,7.9418,7.8273,7.8917,7.8917,0
01-01-2012,7.9032,7.9764,7.867,7.8976,7.8976,0
01-02-2012,7.9133,7.9495,7.8803,7.895,7.895,0
01-03-2012,7.9238,7.9485,7.8585,7.9245,7.9245,0
01-04-2012,7.9301,7.9702,7.9028,7.91,7.91,0
01-05-2012,7.9085,8.0121,7.8784,8.0113,8.0113,0
01-06-2012,7.9734,8.049,7.8924,7.9153,7.9153,0
01-07-2012,7.9414,8.0395,7.9414,7.9851,7.9851,0
01-08-2012,7.9947,8.0238,7.9325,8.0298,8.0298,0
01-09-2012,8.0263,8.0794,7.9148,8.0794,8.0794,0
01-10-2012,8.0385,8.1338,8.0108,8.0555,8.0555,0
01-11-2012,8.0795,8.1243,8,8.0863,8.0863,0
01-12-2012,8.0677,8.0812,7.9074,7.9212,7.9212,0
01-01-2013,7.924,8.056,7.8923,8.0267,8.0267,0
01-02-2013,8.0197,8.1399,7.9881,8.027,8.027,0
01-03-2013,8.0503,8.09,8.0036,8.031,8.031,0
01-04-2013,8.031,8.0698,8,8.0223,8.0223,0
01-05-2013,7.994,8.0576,7.9907,7.9992,7.9992,0
01-06-2013,8.0386,8.1107,8.0014,8.083901,8.083901,0
01-07-2013,8.0821,8.0821,8.0043,8.0282,8.0282,0
01-08-2013,8.0352,8.0352,7.9858,8.0305,8.0305,0
01-09-2013,8.0241,8.0969,8.0126,8.0754,8.0754,0
01-10-2013,8.0768,8.1048,8.0683,8.1032,8.1032,0
01-11-2013,8.0745,8.1706,8.0578,8.1295,8.1295,0
01-12-2013,8.1295,8.2445,8.056,8.1338,8.1338,0
01-01-2014,8.1523,8.5552,8.1095,8.3691,8.3691,0
01-02-2014,8.5528,11.149,8.3067,11.149,11.149,0
01-03-2014,9.5355,11.157,8.8936,10.867,10.867,0
01-04-2014,11.177,12.946,10.932,11.333,11.333,0
01-05-2014,11.35,11.970314,11.337,11.615,11.615,0
01-06-2014,11.565,11.924636,11.423,11.529,11.529,0
01-07-2014,11.494,12.027,11.411,11.972,11.972,0
01-08-2014,12.026,13.713,12.026,13.302,13.302,0
01-09-2014,13.307,14.205,12.059,12.709,12.709,0
01-10-2014,12.676,12.919897,12.472,12.773,12.773,0
01-11-2014,12.823,15.64,12.717,14.877,14.877,0
01-12-2014,14.827,15.780338,14.708,15.587,15.587,0
01-01-2015,15.645,16.228497,15.266,16.228497,16.228497,0
01-02-2015,15.682,33.901001,15.682,33.499001,33.499001,0
01-03-2015,27.115,27.115,21.202,23.118999,23.118999,0
01-04-2015,23.166,23.433001,20.659,21.997999,21.997999,0
01-05-2015,20.799999,22.167999,20.211,20.964001,20.964001,0
01-06-2015,20.827,21.719999,20.422001,20.738001,20.738001,0
01-07-2015,20.822001,22.306999,20.728001,20.822001,20.822001,0
01-08-2015,20.955,22.466,20.688,20.91,20.91,0
01-09-2015,21.752001,22.025999,20.870001,21.183001,21.183001,0
01-10-2015,20.965,22.969,20.743,22.708,22.708,0
01-11-2015,22.674,23.868999,22.381001,23.613001,23.613001,0
01-12-2015,23.683001,23.752001,22.024,23.721001,23.721001,0
01-01-2016,23.826,25.308001,22.795,24.82,24.82,0
01-02-2016,25.504,27.097,24.893,27.080999,27.080999,0
